Team,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country
Athletic Bilbao ,Ath Bilbao,Bilbao ,San Mamés ,53332,43.264284,-2.950366,Spain
Atlético Madrid ,Ath Madrid,Madrid ,Vicente Calderón ,54851,40.401719,-3.720606,Spain
Barcelona ,Barcelona,Barcelona ,Camp Nou ,99354,41.38087,2.122802,Spain
Betis ,Betis,Seville ,Benito Villamarín ,52500,37.356389,-5.981389,Spain
Celta de Vigo ,Celta,Vigo ,Balaídos ,31800,42.211842,-8.739711,Spain
Espanyol ,Espanol,Cornellà de Llobregat ,Cornellà-El Prat ,40500,41.347861,2.075667,Spain
Getafe ,Getafe,Getafe ,Coliseum Alfonso Pérez ,17700,40.325556,-3.714722,Spain
Granada ,Granada,Granada ,Nuevo Los Cármenes ,22524,37.152967,-3.595736,Spain
Osasuna ,Osasuna,Pamplona ,El Sadar ,19553,42.796667,-1.636944,Spain
Rayo Vallecano ,Vallecano,Madrid ,Campo de Vallecas ,15489,40.391944,-3.658961,Spain
Real Madrid ,Real Madrid,Madrid ,Santiago Bernabéu ,85454,40.45306,-3.68835,Spain
Real Sociedad ,Sociedad,San Sebastián ,Anoeta ,32076,43.301378,-1.973617,Spain
Sevilla ,Sevilla,Seville ,Ramón Sánchez Pizjuán ,45500,37.384,-5.9705,Spain
Valencia ,Valencia,Valencia ,Mestalla ,55000,39.474656,-0.358361,Spain
Valladolid ,Valladolid,Valladolid ,Nuevo José Zorrilla ,26512,41.644444,-4.761111,Spain
Villarreal ,Villarreal,Villarreal ,El Madrigal ,24890,39.944167,-0.103611,Spain
Mallorca ,Mallorca,Palma ,Iberostar Stadium ,23142,39.59,2.63,Spain
Levante ,Levante,Valencia ,Ciutat de València ,25534,39.494722,-0.364167,Spain
Deportivo La Coruña ,La Coruna,A Coruña ,Riazor ,34600,43.368714,-8.417516,Spain
Málaga ,Malaga,Málaga ,La Rosaleda ,30044,36.734092,-4.426422,Spain
